failure,sensor,before_mean,during_mean,before_std,shift_in_stds
Failure 1,TP2,-0.018,8.518,0.0,
Failure 1,TP3,8.248,8.812,0.0,158679647222143.8
Failure 1,H1,8.238,0.079,0.0,
Failure 1,DV_pressure,-0.024,1.879,0.0,2.742283912277503e+17
Failure 1,Reservoirs,8.248,8.813,0.0,158986104968131.7
Failure 1,Oil_temperature,49.45,74.131,0.0,3472589152926125.5
Failure 1,Motor_current,0.04,5.604,0.0,8.016867232535258e+17
Failure 2,TP2,1.261,8.175,3.155,2.19
Failure 2,TP3,8.97,8.402,0.569,-1.0
Failure 2,H1,7.655,0.071,3.196,-2.37
Failure 2,DV_pressure,0.08,1.925,0.441,4.18
Failure 2,Reservoirs,8.971,8.404,0.568,-1.0
Failure 2,Oil_temperature,64.28,75.871,4.166,2.78
Failure 2,Motor_current,1.92,5.566,2.279,1.6
Failure 3,TP2,1.258,7.892,3.153,2.1
Failure 3,TP3,9.026,8.018,0.586,-1.72
Failure 3,H1,7.687,-0.007,3.229,-2.38
Failure 3,DV_pressure,0.046,2.016,0.394,5.0
Failure 3,Reservoirs,9.026,8.02,0.585,-1.72
Failure 3,Oil_temperature,64.218,75.517,4.238,2.67
Failure 3,Motor_current,2.027,5.494,2.281,1.52
Failure 4,TP2,4.63,8.265,4.768,0.76
Failure 4,TP3,9.168,8.207,0.626,-1.54
Failure 4,H1,4.557,0.247,4.554,-0.95
Failure 4,DV_pressure,0.003,-0.009,0.27,-0.04
Failure 4,Reservoirs,9.169,8.205,0.624,-1.54
Failure 4,Oil_temperature,75.162,83.906,2.759,3.17
Failure 4,Motor_current,4.735,5.51,1.117,0.69
